Work_Pressure,Manager_Support,Sleeping_Habit,Exercise_Habit,Job_Satisfaction,Social_Person,Work_Life_Balance,Lives_With_Family,Work_From_Home,Work_From_Hybrid,Work_From_Office,Working_State,Avg_Working_Hours_Per_Day,Stress_Level
3.0,4.0,4.0,2.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,2.924193548387097,-1.469353817020187,3
1.0,1.0,5.0,4.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,2.94314381270903,-1.3546621000232426,4
3.0,2.0,3.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0584070796460177,2.487510419374395,1
3.0,2.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0294599018003274,0.8244805229187002,2
2.0,2.0,4.0,1.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,3.0294599018003274,1.4552849664018952,5
1.0,4.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.924193548387097,0.9965180984141172,2
3.0,4.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.94314381270903,2.487510419374395,5
4.0,4.0,2.0,4.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,2.94314381270903,-0.20774493005379865,4
4.0,3.0,3.0,5.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.94314381270903,-0.5518200810446316,4
2.0,5.0,3.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,3.036303630363036,-0.4371283640476876,2
5.0,3.0,5.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,2.924193548387097,1.6846684003957832,3
1.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.036303630363036,-0.15039907155532664,4
3.0,4.0,1.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,1.0,3.0294599018003274,-0.6665117980415766,1
2.0,4.0,4.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,2.924193548387097,-0.32243664705074365,5
2.0,3.0,3.0,5.0,5.0,4.0,1.0,1.0,0.0,1.0,0.0,2.94314381270903,-0.8385493735369931,5
3.0,2.0,1.0,2.0,5.0,4.0,1.0,1.0,1.0,0.0,0.0,3.0294599018003274,0.3657136549309233,3
2.0,4.0,5.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0294599018003274,0.5950970889248123,4
4.0,5.0,1.0,4.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0584070796460177,-0.8958952320354651,3
5.0,1.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,2.94314381270903,0.5950970889248123,3
3.0,3.0,4.0,1.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0294599018003274,0.3083677964324513,4
2.0,1.0,1.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,2.94314381270903,0.4804053719278673,2
3.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,2.924193548387097,-0.26509078855227064,5
4.0,2.0,2.0,4.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,3.0584070796460177,-1.3546621000232426,2
4.0,3.0,5.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0584070796460177,0.2510219379339783,2
3.0,4.0,2.0,4.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0584070796460177,0.7097888059217563,5
4.0,3.0,1.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0584070796460177,-0.37978250554921567,2
5.0,3.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0294599018003274,0.3083677964324513,4
5.0,3.0,3.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0584070796460177,0.4804053719278673,2
1.0,2.0,5.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,2.924193548387097,0.9965180984141172,5
